year,key_team,win,loss,goals_for,goals_against
1935,ALS,1,0,4,1
1935,CHN,2,4,18,21
1935,DET,4,2,21,18
1935,NLS,0,1,1,4
1936,ALS,0,1,3,4
1936,NLS,1,0,4,3
1936,NY1,2,4,23,43
1936,NYA,4,2,43,23
1937,ALS,1,0,8,3
1937,NLS,0,1,3,8
1937,NY1,1,4,12,28
1937,NYA,4,1,28,12
1938,ALS,0,1,1,4
1938,CHN,0,4,9,22
1938,NLS,1,0,4,1
1938,NYA,4,0,22,9
1939,ALS,1,0,3,1
1939,CIN,0,4,8,20
1939,NLS,0,1,1,3
1939,NYA,4,0,20,8
1940,ALS,0,1,0,4
1940,CIN,4,3,22,28
1940,DET,3,4,28,22
1940,NLS,1,0,4,0
1941,ALS,1,0,7,5
1941,BRO,1,4,11,17
1941,NLS,0,1,5,7
1941,NYA,4,1,17,11
1942,ALS,1,0,3,1
1942,NLS,0,1,1,3
1942,NYA,1,4,18,23
1942,SLN,4,1,23,18
1943,ALS,1,0,5,3
1943,NLS,0,1,3,5
1943,NYA,4,1,17,9
1943,SLN,1,4,9,17
1944,ALS,0,1,1,7
1944,NLS,1,0,7,1
1944,SLA,2,4,12,16
1944,SLN,4,2,16,12
1945,CHN,3,4,29,32
1945,DET,4,3,32,29
1946,ALS,1,0,12,0
1946,BOS,3,4,20,28
1946,NLS,0,1,0,12
1946,SLN,4,3,28,20
1947,ALS,1,0,2,1
1947,BRO,3,4,29,38
1947,NLS,0,1,1,2
1947,NYA,4,3,38,29
1948,ALS,1,0,5,2
1948,BSN,2,4,17,17
1948,CLE,4,2,17,17
1948,NLS,0,1,2,5
1949,ALS,1,0,11,7
1949,BRO,1,4,14,21
1949,NLS,0,1,7,11
1949,NYA,4,1,21,14
1950,ALS,0,1,3,4
1950,NLS,1,0,4,3
1950,NYA,4,0,11,5
1950,PHI,0,4,5,11
1951,ALS,0,1,3,8
1951,NLS,1,0,8,3
1951,NY1,2,4,18,29
1951,NYA,4,2,29,18
1952,ALS,0,1,2,3
1952,BRO,3,4,20,26
1952,NLS,1,0,3,2
1952,NYA,4,3,26,20
1953,ALS,0,1,1,5
1953,BRO,2,4,27,33
1953,NLS,1,0,5,1
1953,NYA,4,2,33,27
1954,ALS,1,0,11,9
1954,CLE,0,4,9,21
1954,NLS,0,1,9,11
1954,NY1,4,0,21,9
1955,ALS,0,1,5,6
1955,BRO,4,3,31,26
1955,NLS,1,0,6,5
1955,NYA,3,4,26,31
1956,ALS,0,1,3,7
1956,BRO,3,4,25,33
1956,NLS,1,0,7,3
1956,NYA,4,3,33,25
1957,ALS,1,0,6,5
1957,MLN,4,3,23,25
1957,NLS,0,1,5,6
1957,NYA,3,4,25,23
1958,ALS,1,0,4,3
1958,MLN,3,4,25,29
1958,NLS,0,1,3,4
1958,NYA,4,3,29,25
1959,ALS,1,1,9,8
1959,CHA,2,4,23,21
1959,LAN,4,2,21,23
1959,NLS,1,1,8,9
1960,ALS,0,2,3,11
1960,NLS,2,0,11,3
1960,NYA,3,4,55,27
1960,PIT,4,3,27,55
1961,ALS,0,1,5,6
1961,CIN,1,4,13,27
1961,NLS,1,0,6,5
1961,NYA,4,1,27,13
1962,ALS,1,1,10,7
1962,NLS,1,1,7,10
1962,NYA,4,3,20,21
1962,SFN,3,4,21,20
1963,ALS,0,1,3,5
1963,LAN,4,0,12,4
1963,NLS,1,0,5,3
1963,NYA,0,4,4,12
1964,ALS,0,1,4,7
1964,NLS,1,0,7,4
1964,NYA,3,4,33,32
1964,SLN,4,3,32,33
1965,ALS,0,1,5,6
1965,LAN,4,3,24,20
1965,MIN,3,4,20,24
1965,NLS,1,0,6,5
1966,ALS,0,1,1,2
1966,BAL,4,0,13,2
1966,LAN,0,4,2,13
1966,NLS,1,0,2,1
1967,ALS,0,1,1,2
1967,BOS,3,4,21,25
1967,NLS,1,0,2,1
1967,SLN,4,3,25,21
1968,ALS,0,1,0,1
1968,DET,4,3,34,27
1968,NLS,1,0,1,0
1968,SLN,3,4,27,34
1969,ALS,0,1,3,9
1969,ATL,0,3,15,27
1969,BAL,4,4,25,20
1969,MIN,0,3,5,16
1969,NLS,1,0,9,3
1969,NYN,7,1,42,24
1970,ALS,0,1,4,5
1970,BAL,7,1,60,30
1970,CIN,4,4,29,36
1970,MIN,0,3,10,27
1970,NLS,1,0,5,4
1970,PIT,0,3,3,9
1971,ALS,1,0,6,4
1971,BAL,6,4,39,30
1971,NLS,0,1,4,6
1971,OAK,0,3,7,15
1971,PIT,7,4,47,39
1971,SFN,1,3,15,24
1972,ALS,0,1,3,4
1972,CIN,6,6,40,31
1972,DET,2,3,10,13
1972,NLS,1,0,4,3
1972,OAK,7,5,29,31
1972,PIT,2,3,15,19
1973,ALS,0,1,1,7
1973,BAL,2,3,15,15
1973,CIN,2,3,8,23
1973,NLS,1,0,7,1
1973,NYN,6,6,47,29
1973,OAK,7,5,36,39
1974,ALS,0,1,2,7
1974,BAL,1,3,7,11
1974,LAN,4,5,31,26
1974,NLS,1,0,7,2
1974,OAK,7,2,27,18
1974,PIT,1,3,10,20
1975,ALS,0,1,3,6
1975,BOS,6,4,48,36
1975,CIN,7,3,48,37
1975,NLS,1,0,6,3
1975,OAK,0,3,7,18
1975,PIT,0,3,7,19
1976,ALS,0,1,1,7
1976,CIN,7,0,41,19
1976,KCA,2,3,24,23
1976,NLS,1,0,7,1
1976,NYA,3,6,31,46
1976,PHI,0,3,11,19
